"NCT","Brief_Title","Year","Phase","Sponsor_Class","Registry_Source","Status","Enrollment","Modality","Radiation","Strict_GBM_Only","Pediatric_title","NCO","NCO_strict","NCO_Designation","NCO_Instruments","HRQoL","HRQoL_Designation","HRQoL_Instruments"
"NCT02302235","Ketogenic Diet Treatment Adjunctive to Radiation and Chemotherapy in Glioblastoma Multiforme: a Pilot Study",2014,"PHASE2","Academic/Investigator-Initiated","US","COMPLETED",42,"Radiation",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT07301268","GI-102 Alone or With Pembrolizumab Before Surgery for Treatment of Recurrent or Progressive IDH Wildtype Glioblastoma and IDH Mutated Grade 4 Astrocytoma",2026,"PHASE2","Academic/Investigator-Initiated","US","RECRUITING",36,"Surgical; Immunotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT01102595","Neo-adjuvant Treatment With Temozolomide and Bevacizumab Previous to Temozolomide Plus Radiation Plus Bevacizumab Therapy in Unresectable Glioblastoma",2009,"PHASE2","Academic/Investigator-Initiated","US","COMPLETED",102,"Radiation; Cytotoxic Chemotherapy; Targeted / Small Molecule",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT02343406","Adult Study: ABT-414 Alone or ABT-414 Plus Temozolomide vs. Lomustine or Temozolomide for Recurrent Glioblastoma Pediatric Study: Evaluation of ABT-414 in Children With High Grade Gliomas",2015,"PHASE2","Industry","US","COMPLETED",266,"Cytotoxic Chemotherapy; Targeted / Small Molecule",0,"No",TRUE,0,0,"None","None",0,"None","None"
"NCT06413706","A Study Comparing Abemaciclib Plus Temozolomide to Temozolomide Monotherapy in Children and Young Adults With High-grade Glioma Following Radiotherapy",2024,"PHASE2","Industry","US","ACTIVE_NOT_RECRUITING",45,"Radiation; Cytotoxic Chemotherapy",1,"No",TRUE,0,0,"None","None",0,"None","None"
"NCT00515086","Study of Everolimus (RAD001) in Patients With Recurrent Glioblastoma Multiforme (GBM)",2007,"PHASE2","Industry","US","TERMINATED",41,"Surgical; Targeted / Small Molecule",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT01562197","A Randomized Phase II Clinical Trial on the Efficacy of Axitinib as a Monotherapy or in Combination With Lomustine for the Treatment of Patients With Recurrent Glioblastoma",2014,"PHASE2","Academic/Investigator-Initiated","US","COMPLETED",56,"Cytotoxic Chemotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT00892177","Dasatinib and Bevacizumab in Treating Patients With Recurrent or Progressive High-Grade Glioma or Glioblastoma Multiforme",2009,"PHASE2","Academic/Investigator-Initiated","US","COMPLETED",144,"Targeted / Small Molecule",0,"No",FALSE,0,0,"None","None",1,"Secondary","fact-br; functional assessment of cancer therapy; quality of life"
"NCT02573324","A Study of ABT-414 in Participants With Newly Diagnosed Glioblastoma (GBM) With Epidermal Growth Factor Receptor (EGFR) Amplification",2015,"PHASE3","Industry","US","COMPLETED",691,"Radiation; Cytotoxic Chemotherapy; Targeted / Small Molecule",1,"Yes",FALSE,1,1,"Secondary","hopkins verbal; hvlt; hvlt-r",1,"Secondary","anderson symptom inventory; mdasi; symptom inventory"
"NCT02414165","The Toca 5 Trial: Toca 511 & Toca FC Versus Standard of Care in Patients With Recurrent High Grade Glioma",2015,"PHASE2/PHASE3","Industry","US","TERMINATED",403,"Surgical; Cytotoxic Chemotherapy; Targeted / Small Molecule; Immunotherapy",0,"No",FALSE,0,0,"None","None",0,"None","None"
