NCT,NCO,HRQoL,Phase,Sponsor_Class,Registration_Year,Radiation,Registry_Source,Strict_GBM_Only
NCT06816927,0,0,PHASE2,Academic/Investigator-Initiated,2025,1,US,Yes
NCT03688178,0,0,PHASE2,Academic/Investigator-Initiated,2020,0,US,Yes
NCT00430911,1,1,PHASE3,Academic/Investigator-Initiated,2001,1,US,No
NCT06328036,0,0,PHASE2,Government/Cooperative Group,2025,0,US,Yes
NCT07349693,0,0,PHASE2/PHASE3,Industry,2026,0,US,Yes
NCT04115761,0,0,PHASE2,Industry,2019,0,US,Yes
NCT04762069,0,1,PHASE2,Industry,2021,0,US,Yes
NCT02715297,1,1,PHASE2,Academic/Investigator-Initiated,2016,1,US,Yes
NCT00923117,0,0,PHASE2,Government/Cooperative Group,2008,0,US,No
NCT05904119,1,1,PHASE3,Government/Cooperative Group,2024,1,US,Yes
NCT02209948,0,0,PHASE2,Academic/Investigator-Initiated,2014,0,US,Yes
NCT00003293,0,0,PHASE3,Industry,1998,0,US,Yes
NCT01730950,0,0,PHASE2,Government/Cooperative Group,2012,1,US,Yes
NCT01390948,1,0,PHASE2,Industry,2011,1,US,No
NCT04817254,0,1,PHASE2,Government/Cooperative Group,2021,0,US,Yes
NCT02986178,0,0,PHASE2,Industry,2017,0,US,No
NCT06496971,1,1,PHASE3,Industry,2024,0,US,Yes
NCT00335075,0,1,PHASE3,Industry,2005,0,US,No
NCT06356883,1,1,PHASE2,Academic/Investigator-Initiated,2025,0,US,Yes
NCT06448286,0,1,PHASE3,Academic/Investigator-Initiated,2026,1,US,Yes
NCT06936046,0,1,PHASE2,Academic/Investigator-Initiated,2025,1,US,Yes
NCT00884741,1,1,PHASE3,Government/Cooperative Group,2009,1,US,Yes
NCT00807027,0,0,PHASE3,Industry,2008,0,US,Yes
NCT03970447,0,0,PHASE2/PHASE3,Academic/Investigator-Initiated,2019,1,US,Yes
NCT03018288,0,1,PHASE2,Government/Cooperative Group,2017,1,US,Yes
NCT01204684,0,0,PHASE2,Academic/Investigator-Initiated,2010,0,US,No
NCT06780592,0,0,PHASE2,Academic/Investigator-Initiated,2025,0,US,Yes
NCT01507506,0,0,PHASE3,Academic/Investigator-Initiated,2011,1,US,Yes
NCT00068952,0,0,PHASE3,Industry,2003,0,US,Yes
NCT07130149,0,0,PHASE2,Academic/Investigator-Initiated,2024,1,US,Yes
NCT04765514,1,1,PHASE2,Academic/Investigator-Initiated,2022,1,US,Yes
NCT00114309,0,1,PHASE2,Industry,2004,0,US,No
NCT04116411,1,1,PHASE2,Academic/Investigator-Initiated,2019,1,US,Yes
NCT06556563,0,0,PHASE3,Industry,2025,0,US,Yes
NCT00967330,1,1,PHASE2,Industry,2010,0,US,Yes
NCT06687681,0,0,PHASE2,Industry,2024,0,US,No
NCT04277221,0,0,PHASE3,Industry,2019,0,US,Yes
NCT00482677,0,0,PHASE3,Government/Cooperative Group,2007,1,US,Yes
NCT04195139,0,1,PHASE2,Academic/Investigator-Initiated,2018,0,US,Yes
NCT04588987,0,0,PHASE2,Academic/Investigator-Initiated,2020,0,US,No
NCT02014844,0,0,PHASE2,Industry,2014,1,US,Yes
NCT04674527,0,0,PHASE2,Academic/Investigator-Initiated,2021,0,US,Yes
NCT07195591,0,1,PHASE3,Industry,2025,1,US,Yes
NCT01022918,0,1,PHASE2,Academic/Investigator-Initiated,2009,1,US,Yes
NCT01236560,0,0,PHASE2/PHASE3,Government/Cooperative Group,2011,1,US,No
NCT05685004,0,0,PHASE2/PHASE3,Industry,2023,1,US,Yes
NCT00190424,0,0,PHASE2,Academic/Investigator-Initiated,2005,0,US,Yes
NCT06105619,0,1,PHASE2/PHASE3,Industry,2018,0,US,Yes
NCT05463848,0,0,PHASE2,Academic/Investigator-Initiated,2022,0,US,Yes
NCT01137604,0,0,PHASE2,Industry,2010,0,US,No
NCT01364064,0,0,PHASE3,Academic/Investigator-Initiated,2007,0,US,Yes
NCT04536649,1,0,PHASE3,Academic/Investigator-Initiated,2020,1,US,Yes
NCT01609790,0,0,PHASE2,Government/Cooperative Group,2012,0,US,No
NCT02794883,0,0,PHASE2,Academic/Investigator-Initiated,2016,0,US,Yes
NCT04933942,0,1,PHASE2,Government/Cooperative Group,2022,0,US,Yes
NCT06805305,0,1,PHASE2,Industry,2025,1,US,Yes
NCT05629702,0,1,PHASE2,Academic/Investigator-Initiated,2023,0,US,Yes
NCT02366728,0,0,PHASE2,Academic/Investigator-Initiated,2015,0,US,Yes
NCT04614493,1,1,PHASE2,Academic/Investigator-Initiated,2021,1,US,Yes
NCT03776071,0,0,PHASE3,Industry,2020,1,US,Yes
NCT01854554,1,0,PHASE2,Academic/Investigator-Initiated,2013,1,US,Yes
NCT04250922,0,1,PHASE2/PHASE3,Industry,2019,1,US,Yes
NCT00002545,0,0,PHASE3,Government/Cooperative Group,1994,1,US,Yes
NCT00562419,0,0,PHASE2,Industry,2007,0,US,Yes
NCT07326566,0,0,PHASE2,Industry,2026,0,US,Yes
NCT01587144,0,0,PHASE2,Industry,2012,1,US,Yes
NCT03633552,0,0,PHASE3,Academic/Investigator-Initiated,2018,0,US,No
NCT02330991,0,0,PHASE2,Academic/Investigator-Initiated,2015,0,US,Yes
NCT03149575,0,1,PHASE3,Industry,2017,1,US,Yes
NCT05694416,0,0,PHASE2,Academic/Investigator-Initiated,2023,0,US,Yes
NCT05439278,0,1,PHASE3,Academic/Investigator-Initiated,2025,1,US,Yes
NCT04157478,0,0,PHASE2,Academic/Investigator-Initiated,2020,1,US,Yes
